преступления,субъект
8888,Алтайский край
4968,Амурская область
4569,Архангельская область
2832,Астраханская область
3208,Белгородская область
2138,Брянская область
4099,Владимирская область
8453,Волгоградская область
3258,Вологодская область
7121,Воронежская область
931,Еврейская АО
4052,Забайкальский край
2954,Ивановская область
10665,Иркутская область
1733,Кабардино-Балкарская Респ.
2711,Калининградская область
3600,Калужская область
1071,Камчатский край
843,Карачаево-Черкесская Респ.
10350,Кемеровская область-Кузбасс
4830,Кировская область
2564,Костромская область
13357,Краснодарский край
11082,Красноярский край
2735,Курганская область
2871,Курская область
8974,Ленинградская область
2718,Липецкая область
685,Магаданская область
15811,Московская область
2968,Мурманская область
8569,Нижегородская область
2719,Новгородская область
11572,Новосибирская область
6183,Омская область
5656,Оренбургская область
1528,Орловская область
3241,Пензенская область
7975,Пермский край
7398,Приморский край
2021,Псковская область
837,Республика Адыгея
833,Республика Алтай
11766,Республика Башкортостан
4716,Республика Бурятия
2668,Республика Дагестан
415,Республика Ингушетия
649,Республика Калмыкия
2459,Республика Карелия
3993,Республика Коми
3975,Республика Крым
2046,Республика Марий Эл
1724,Республика Мордовия
2391,Республика Саха (Якутия)
1638,Республика Сев. Осетия-Алания
12350,Республика Татарстан
1640,Республика Тыва
1850,Республика Хакасия
12199,Ростовская область
1857,Рязанская область
8163,Самарская область
6594,Саратовская область
1797,Сахалинская область
9054,Свердловская область
3627,Смоленская область
8919,Ставропольский край
2251,Тамбовская область
5063,Тверская область
3509,Томская область
3080,Тульская область
5419,Тюменская область
6632,Удмуртская Республика
2639,Ульяновская область
4305,Хабаровский край
5128,Ханты-Мансийский АО
10535,Челябинская область
724,Чеченская Республика
3419,Чувашская Республика
167,Чукотский АО
1725,Ямало-Ненецкий АО
3416,Ярославская область
46530,г. Москва
17529,г. Санкт-Петербург
1045,г. Севастополь